ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4
36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4
11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8
20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4
14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40
1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8
20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4
24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8
6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8
33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2
18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8
3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1
10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40
20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4
11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7
11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1
30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4
11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2
3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8
2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4
2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2
10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1
11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4
2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4
27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4
5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8
14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4
20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8
15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32
20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0
29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0
28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2
34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2
11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0
36,0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0
28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3
3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0
33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1
3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4
3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
36,0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0
22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1
3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3
28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2
33,23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2
15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5
3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3
20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16
15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8
28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2
11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8
10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1
20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3
3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1
3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8
17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5
14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32
6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8
15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1
14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4
33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1
28,28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3
33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64
36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2
1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8
28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8
28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3
20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3
28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8
34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2
24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8
28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8
28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2
28,28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
28,27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8
11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3
27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1
24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8
3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8
14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2
6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2
11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8
31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
28,28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2
28,23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2
22,23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,1
27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8
28,25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3
18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8
18,23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1
28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1
6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
19,28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,2
20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8
30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3
17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8
