Name,Brand
chevrolet chevelle malibu,chevrolet
buick skylark 320,buick
plymouth satellite,plymouth
amc rebel sst,amc
ford torino,ford
ford galaxie 500,ford
chevrolet impala,chevrolet
plymouth fury iii,plymouth
pontiac catalina,pontiac
amc ambassador dpl,amc
dodge challenger se,dodge
plymouth 'cuda 340,plymouth
chevrolet monte carlo,chevrolet
buick estate wagon (sw),buick
toyota corona mark ii,toyota
plymouth duster,plymouth
amc hornet,amc
ford maverick,ford
datsun pl510,datsun
volkswagen 1131 deluxe sedan,volkswagen
peugeot 504,peugeot
audi 100 ls,audi
saab 99e,others
bmw 2002,others
amc gremlin,amc
ford f250,ford
chevy c20,chevrolet
dodge d200,dodge
hi 1200d,others
chevrolet vega 2300,chevrolet
toyota corona,toyota
plymouth satellite custom,plymouth
ford torino 500,ford
amc matador,amc
pontiac catalina brougham,pontiac
dodge monaco (sw),dodge
ford country squire (sw),ford
pontiac safari (sw),pontiac
amc hornet sportabout (sw),amc
chevrolet vega (sw),chevrolet
pontiac firebird,pontiac
ford mustang,ford
mercury capri 2000,mercury
opel 1900,others
peugeot 304,peugeot
fiat 124b,fiat
toyota corolla 1200,toyota
datsun 1200,datsun
volkswagen model 111,volkswagen
plymouth cricket,plymouth
toyota corona hardtop,toyota
dodge colt hardtop,dodge
volkswagen type 3,volkswagen
chevrolet vega,chevrolet
ford pinto runabout,ford
amc ambassador sst,amc
mercury marquis,mercury
buick lesabre custom,buick
oldsmobile delta 88 royale,oldsmobile
chrysler newport royal,chrysler
mazda rx2 coupe,mazda
amc matador (sw),amc
chevrolet chevelle concours (sw),chevrolet
ford gran torino (sw),ford
plymouth satellite custom (sw),plymouth
volvo 145e (sw),volvo
volkswagen 411 (sw),volkswagen
peugeot 504 (sw),peugeot
renault 12 (sw),others
ford pinto (sw),ford
datsun 510 (sw),datsun
toyouta corona mark ii (sw),toyota
dodge colt (sw),dodge
toyota corolla 1600 (sw),toyota
buick century 350,buick
chevrolet malibu,chevrolet
ford gran torino,ford
dodge coronet custom,dodge
mercury marquis brougham,mercury
chevrolet caprice classic,chevrolet
ford ltd,ford
plymouth fury gran sedan,plymouth
chrysler new yorker brougham,chrysler
buick electra 225 custom,buick
amc ambassador brougham,amc
plymouth valiant,plymouth
chevrolet nova custom,chevrolet
volkswagen super beetle,volkswagen
ford country,ford
plymouth custom suburb,plymouth
oldsmobile vista cruiser,oldsmobile
toyota carina,toyota
datsun 610,datsun
maxda rx3,mazda
ford pinto,ford
mercury capri v6,mercury
fiat 124 sport coupe,fiat
chevrolet monte carlo s,chevrolet
pontiac grand prix,pontiac
fiat 128,fiat
opel manta,others
audi 100ls,audi
volvo 144ea,volvo
dodge dart custom,dodge
saab 99le,others
toyota mark ii,toyota
oldsmobile omega,oldsmobile
chevrolet nova,chevrolet
datsun b210,datsun
chevrolet chevelle malibu classic,chevrolet
plymouth satellite sebring,plymouth
buick century luxus (sw),buick
dodge coronet custom (sw),dodge
audi fox,audi
volkswagen dasher,volkswagen
datsun 710,datsun
dodge colt,dodge
fiat 124 tc,fiat
honda civic,honda
subaru,others
fiat x1.9,fiat
plymouth valiant custom,plymouth
mercury monarch,mercury
chevrolet bel air,chevrolet
plymouth grand fury,plymouth
buick century,buick
chevroelt chevelle malibu,chevrolet
plymouth fury,plymouth
buick skyhawk,buick
chevrolet monza 2+2,chevrolet
ford mustang ii,ford
toyota corolla,toyota
pontiac astro,pontiac
volkswagen rabbit,volkswagen
amc pacer,amc
volvo 244dl,volvo
honda civic cvcc,honda
fiat 131,fiat
capri ii,ford
renault 12tl,others
dodge coronet brougham,dodge
chevrolet chevette,chevrolet
chevrolet woody,chevrolet
vw rabbit,volkswagen
dodge aspen se,dodge
ford granada ghia,ford
pontiac ventura sj,pontiac
amc pacer d/l,amc
datsun b-210,datsun
volvo 245,volvo
plymouth volare premier v8,plymouth
mercedes-benz 280s,others
cadillac seville,others
chevy c10,chevrolet
ford f108,ford
dodge d100,dodge
honda Accelerationord cvcc,honda
buick opel isuzu deluxe,others
renault 5 gtl,others
plymouth arrow gs,plymouth
datsun f-10 hatchback,datsun
oldsmobile cutlass supreme,oldsmobile
dodge monaco brougham,dodge
mercury cougar brougham,mercury
chevrolet concours,chevrolet
buick skylark,buick
plymouth volare custom,plymouth
ford granada,ford
pontiac grand prix lj,pontiac
chevrolet monte carlo landau,chevrolet
chrysler cordoba,chrysler
ford thunderbird,ford
volkswagen rabbit custom,volkswagen
pontiac sunbird coupe,pontiac
toyota corolla liftback,toyota
ford mustang ii 2+2,ford
dodge colt m/m,dodge
subaru dl,others
datsun 810,datsun
bmw 320i,others
mazda rx-4,mazda
volkswagen rabbit custom diesel,volkswagen
ford fiesta,ford
mazda glc deluxe,mazda
datsun b210 gx,datsun
oldsmobile cutlass salon brougham,oldsmobile
dodge diplomat,dodge
mercury monarch ghia,mercury
pontiac phoenix lj,pontiac
ford fairmont (auto),ford
ford fairmont (man),ford
plymouth volare,plymouth
amc concord,amc
