HPIRank,Country,SubRegion,AverageLifeExpectancy,AverageWellBeing,HappyLifeYears,Footprint,InequalityOfOutcomes,InequalityAdjustedLifeExpectancy,InequalityAdjustedWellbeing,HappyPlanetIndex,GDPPerCapita,Population
110,Afghanistan,Middle East and North Africa,59.7,3.8,12.4,0.8,0.43,38.3,3.4,20.2,691,29726803
13,Albania,Post-communist,77.3,5.5,34.4,2.2,0.17,69.7,5.1,36.8,4247,2900489
30,Algeria,Middle East and North Africa,74.3,5.6,30.5,2.1,0.24,60.5,5.2,33.3,5584,37439427
19,Argentina,Americas,75.9,6.5,40.2,3.1,0.16,68.3,6.0,35.2,14357,42095224
73,Armenia,Post-communist,74.4,4.3,24.0,2.2,0.22,66.9,3.7,25.7,3566,2978339
105,Australia,Asia Pacific,82.1,7.2,53.1,9.3,0.08,78.6,6.9,21.2,67646,22728254
43,Austria,Europe,81.0,7.4,54.4,6.1,0.07,78.0,7.1,30.5,48324,8429991
8,Bangladesh,Asia Pacific,70.8,4.7,23.3,0.7,0.27,56.6,4.3,38.4,859,155257387
102,Belarus,Post-communist,70.9,5.7,34.0,5.1,0.13,66.7,5.3,21.7,6722,9464000
87,Belgium,Europe,80.4,6.9,49.5,7.4,0.09,77.2,6.6,23.7,44731,11128246
27,Belize,Americas,69.8,6.1,34.2,2.5,0.18,61.7,5.7,33.8,4674,336707
137,Benin,Sub Saharan Africa,59.2,3.2,9.9,1.4,0.44,37.3,2.8,13.4,808,10049792
56,Bhutan,Asia Pacific,68.7,5.6,27.4,2.3,0.27,54.5,5.2,28.6,2452,743711
92,Bolivia,Americas,67.5,6.0,25.6,3.0,0.35000000000000003,47.9,5.5,23.3,2645,10238762
76,Bosnia and Herzegovina,Post-communist,76.2,4.8,28.6,3.1,0.19,71.1,4.2,25.3,4495,3828419
126,Botswana,Sub Saharan Africa,64.2,4.8,21.3,3.8,0.28,50.8,4.3,16.6,6936,2132822
23,Brazil,Americas,73.9,6.9,39.0,3.1,0.22,63.3,6.3,34.3,12157,202401584
109,Bulgaria,Post-communist,73.9,4.2,24.0,3.3,0.19,68.1,3.7,20.4,7333,7305888
119,Burkina Faso,Sub Saharan Africa,58.0,4.0,12.6,1.2,0.43,36.5,3.6,17.9,673,16590813
131,Burundi,Sub Saharan Africa,55.8,3.4,9.5,0.8,0.48,33.0,3.0,15.6,244,10124572
74,Cambodia,Asia Pacific,67.5,3.9,18.2,1.2,0.28,54.2,3.5,25.6,946,14832255
124,Cameroon,Sub Saharan Africa,54.6,4.2,11.6,1.2,0.47000000000000003,33.1,3.7,16.7,1222,21659488
85,Canada,Americas,81.7,7.4,53.9,8.2,0.09,77.8,7.1,23.9,52738,34751476
140,Chad,Sub Saharan Africa,50.8,4.0,9.6,1.5,0.51,27.3,3.7,12.8,973,12715465
35,Chile,Americas,81.1,6.6,44.7,4.4,0.14,74.9,6.1,31.7,15253,17388437
72,China,Asia Pacific,75.4,5.1,30.6,3.4,0.17,68.6,4.6,25.7,6265,1350695000
3,Colombia,Americas,73.7,6.4,35.1,1.9,0.24,63.1,5.7,40.7,7885,46881018
93,Comoros,Sub Saharan Africa,62.6,4.0,15.4,1.0,0.36,43.3,3.7,23.1,750,733661
1,Costa Rica,Americas,79.1,7.3,48.2,2.8,0.15,72.6,6.8,44.7,9733,4654148
135,Cote d'Ivoire,Sub Saharan Africa,50.8,3.8,10.3,1.3,0.45,30.6,3.5,14.4,1281,21102641
47,Croatia,Post-communist,77.0,6.0,39.6,3.9,0.12,73.5,5.5,30.2,13236,4267558
41,Cyprus,Europe,79.8,6.2,42.3,4.2,0.12,76.6,5.7,30.7,28868,1129303
64,Czech Republic,Post-communist,78.2,6.3,43.4,5.2,0.09,75.5,5.9,27.3,19641,10510785
32,Denmark,Europe,79.8,7.5,54.4,5.5,0.07,76.8,7.2,32.7,57636,5591572
127,Djibouti,Sub Saharan Africa,61.3,4.4,15.1,2.2,0.42,41.4,3.8,16.4,1587,853069
45,Dominican Republic,Americas,73.1,4.8,23.7,1.5,0.3,60.8,4.1,30.3,5967,10155036
10,Ecuador,Americas,75.4,6.0,34.3,2.2,0.22,64.1,5.5,37.0,5702,15419493
86,Egypt,Middle East and North Africa,70.7,4.2,21.8,2.2,0.23,61.3,3.7,23.8,3226,85660902
17,El Salvador,Americas,72.5,5.9,32.2,2.1,0.22,62.5,5.3,35.6,3922,6072233
118,Estonia,Post-communist,76.2,5.4,35.0,6.9,0.12,72.6,5.0,17.9,17491,1322696
66,Ethiopia,Sub Saharan Africa,62.8,4.6,17.8,1.0,0.36,43.8,4.2,26.7,470,92191211
37,Finland,Europe,80.4,7.4,54.6,5.9,0.06,77.6,7.2,31.3,47416,5413971
44,France,Europe,81.8,6.6,48.1,5.1,0.09,78.5,6.3,30.4,40850,65639975
120,Gabon,Sub Saharan Africa,63.3,4.0,15.4,2.0,0.36,45.8,3.5,17.5,10642,1613489
