Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
M,28,168,54,1984,Summer,Los Angeles,Track&Field,Bronze,Others,North America,Africa,Race
M,25,176,78,1964,Summer,Tokyo,Rowing,Bronze,Czech Republic,Asia,Europe,Boat
F,25,158,48,2008,Summer,Beijing,Judo,Gold,Romania,Asia,Europe,Combat
M,19,173,75,1968,Winter,others,Hockey,Bronze,Canada,Europe,North America,Ice
M,31,182,90,1968,Summer,Mexico City,Wrestling,Gold,Russia,North America,Europe,Combat
M,21,184,84,1984,Winter,others,Hockey,Bronze,Sweden,Europe,Europe,Ice
M,21,190,91,2008,Summer,Beijing,Others,Gold,South Korea,Asia,Asia,Combat
F,23,168,55,1984,Summer,Los Angeles,Handball,Silver,South Korea,North America,Asia,Ball
M,27,181,71,2000,Summer,Sydney,Rowing,Silver,Italy,Oceania,Europe,Boat
M,24,176,65,1928,Summer,others,Track&Field,Bronze,Germany,Europe,Europe,Race
M,20,182,91,1952,Summer,others,Water Polo,Silver,Serbia,Europe,Europe,Water
M,22,178,70,1980,Summer,Moskva,Gymnastics,Gold,Russia,Europe,Europe,Acrobatic
M,25,175,65,1992,Summer,Barcelona,Others,Bronze,Japan,Europe,Asia,Ball
F,21,155,58,2016,Summer,Rio de Janeiro,Others,Gold,Others,South America,Asia,Others
F,23,166,60,2016,Summer,Rio de Janeiro,Track&Field,Silver,Others,South America,Africa,Race
M,26,177,70,1964,Summer,Tokyo,Equestrianism,Bronze,Germany,Asia,Europe,Others
M,23,184,77,1988,Summer,Seoul,Swimming,Bronze,New Zealand,Asia,Oceania,Water
M,26,185,73,1948,Summer,London,Track&Field,Bronze,Others,Europe,North America,Race
M,21,182,82,1960,Summer,Roma,Water Polo,Gold,Italy,Europe,Europe,Water
F,23,168,63,1964,Summer,Tokyo,Volleyball,Gold,Japan,Asia,Asia,Ball
M,25,173,63,2000,Summer,Sydney,Wrestling,Bronze,South Korea,Oceania,Asia,Combat
F,43,163,55,2010,Winter,Vancouver,Others,Silver,Canada,North America,North America,Ice
M,23,186,89,1980,Summer,Moskva,Rowing,Gold,Germany,Europe,Europe,Boat
F,28,182,104,2000,Summer,Sydney,Judo,Silver,Cuba,Oceania,North America,Combat
F,18,176,48,1996,Summer,Atlanta,Gymnastics,Silver,Bulgaria,North America,Europe,Acrobatic
