Date,State,Value
2020-03-13,Alabama,0.1
2020-03-18,Alabama,0.4
2020-03-24,Alabama,0.4256828979530653
2020-03-27,Alabama,0.8207706215449754
2020-04-04,Alabama,1.0
2020-03-12,Virginia,0.1
2020-03-17,Virginia,0.3
2020-03-23,Virginia,0.8
2020-03-30,Virginia,1.0
2020-03-11,Arkansas,0.1
2020-03-12,Arkansas,0.15959005289939307
2020-03-17,Arkansas,0.4
2020-03-19,Arkansas,0.6
2020-03-13,Missouri,0.09961550669107644
2020-03-19,Missouri,0.3984620267643058
2020-03-22,Missouri,0.4850403784777598
2020-03-24,Missouri,0.5641134364427576
2020-03-25,Missouri,0.5984674687833406
2020-03-26,Missouri,0.6249250663307171
2020-03-27,Missouri,0.6258068689359778
2020-03-28,Missouri,0.634507777525048
2020-03-29,Missouri,0.6402769368536788
2020-03-30,Missouri,0.6434003950840647
2020-03-31,Missouri,0.6480356266501213
2020-04-01,Missouri,0.6575409112742341
2020-04-02,Missouri,0.6655213226126645
2020-04-03,Missouri,0.6745886387587765
2020-04-04,Missouri,0.6803411787478404
2020-04-05,Missouri,0.6821303972934591
2020-04-06,Missouri,1.0
2020-03-04,California,0.1
2020-03-12,California,0.29999999999999993
2020-03-13,California,0.3265906856215101
2020-03-17,California,0.43611978247844974
2020-03-19,California,1.0
2020-03-13,South Carolina,0.1
2020-03-15,South Carolina,0.4
2020-03-17,South Carolina,0.6
2020-03-23,South Carolina,0.6
2020-03-25,South Carolina,0.6105819045299467
2020-03-26,South Carolina,0.6209496196525968
2020-03-27,South Carolina,0.6233088883942671
2020-04-01,South Carolina,0.8116544441971335
2020-04-02,South Carolina,0.815124747655434
2020-04-07,South Carolina,1.0
2020-03-14,Mississippi,0.1
2020-03-21,Mississippi,0.10721324772382028
2020-03-22,Mississippi,0.12618427370403834
2020-03-24,Mississippi,0.3213141210335907
2020-03-31,Mississippi,0.3475275263436071
2020-04-01,Mississippi,1.0
2020-03-14,West Virginia,0.4
