symbol,date,price
MSFT,2000-01-01,39.81
MSFT,2000-02-01,36.35
MSFT,2000-03-01,43.22
MSFT,2000-04-01,28.37
MSFT,2000-05-01,25.45
MSFT,2000-06-01,32.54
MSFT,2000-07-01,28.4
MSFT,2000-08-01,28.4
MSFT,2000-09-01,24.53
MSFT,2000-10-01,28.02
MSFT,2000-11-01,23.34
MSFT,2000-12-01,17.65
MSFT,2001-01-01,24.84
MSFT,2001-02-01,24.0
MSFT,2001-03-01,22.25
MSFT,2001-04-01,27.56
MSFT,2001-05-01,28.14
MSFT,2001-06-01,29.7
MSFT,2001-07-01,26.93
MSFT,2001-08-01,23.21
MSFT,2001-09-01,20.82
MSFT,2001-10-01,23.65
MSFT,2001-11-01,26.12
MSFT,2001-12-01,26.95
MSFT,2002-01-01,25.92
MSFT,2002-02-01,23.73
MSFT,2002-03-01,24.53
MSFT,2002-04-01,21.26
MSFT,2002-05-01,20.71
MSFT,2002-06-01,22.25
MSFT,2002-07-01,19.52
MSFT,2002-08-01,19.97
MSFT,2002-09-01,17.79
MSFT,2002-10-01,21.75
MSFT,2002-11-01,23.46
MSFT,2002-12-01,21.03
MSFT,2003-01-01,19.31
MSFT,2003-02-01,19.34
MSFT,2003-03-01,19.76
MSFT,2003-04-01,20.87
MSFT,2003-05-01,20.09
MSFT,2003-06-01,20.93
MSFT,2003-07-01,21.56
MSFT,2003-08-01,21.65
MSFT,2003-09-01,22.69
MSFT,2003-10-01,21.45
MSFT,2003-11-01,21.1
MSFT,2003-12-01,22.46
MSFT,2004-01-01,22.69
MSFT,2004-02-01,21.77
MSFT,2004-03-01,20.46
MSFT,2004-04-01,21.45
MSFT,2004-05-01,21.53
MSFT,2004-06-01,23.44
MSFT,2004-07-01,23.38
MSFT,2004-08-01,22.47
MSFT,2004-09-01,22.76
MSFT,2004-10-01,23.02
MSFT,2004-11-01,24.6
MSFT,2004-12-01,24.52
MSFT,2005-01-01,24.11
MSFT,2005-02-01,23.15
MSFT,2005-03-01,22.24
MSFT,2005-04-01,23.28
MSFT,2005-05-01,23.82
MSFT,2005-06-01,22.93
MSFT,2005-07-01,23.64
MSFT,2005-08-01,25.35
MSFT,2005-09-01,23.83
MSFT,2005-10-01,23.8
MSFT,2005-11-01,25.71
MSFT,2005-12-01,24.29
MSFT,2006-01-01,26.14
MSFT,2006-02-01,25.04
MSFT,2006-03-01,25.36
MSFT,2006-04-01,22.5
MSFT,2006-05-01,21.19
MSFT,2006-06-01,21.8
MSFT,2006-07-01,22.51
MSFT,2006-08-01,24.13
MSFT,2006-09-01,25.68
MSFT,2006-10-01,26.96
MSFT,2006-11-01,27.66
MSFT,2006-12-01,28.13
MSFT,2007-01-01,29.07
MSFT,2007-02-01,26.63
MSFT,2007-03-01,26.35
MSFT,2007-04-01,28.3
MSFT,2007-05-01,29.11
MSFT,2007-06-01,27.95
MSFT,2007-07-01,27.5
MSFT,2007-08-01,27.34
MSFT,2007-09-01,28.04
MSFT,2007-10-01,35.03
MSFT,2007-11-01,32.09
MSFT,2007-12-01,34.0
MSFT,2008-01-01,31.13
MSFT,2008-02-01,26.07
MSFT,2008-03-01,27.21
MSFT,2008-04-01,27.34
MSFT,2008-05-01,27.25
MSFT,2008-06-01,26.47
MSFT,2008-07-01,24.75
MSFT,2008-08-01,26.36
MSFT,2008-09-01,25.78
MSFT,2008-10-01,21.57
MSFT,2008-11-01,19.66
MSFT,2008-12-01,18.91
MSFT,2009-01-01,16.63
MSFT,2009-02-01,15.81
MSFT,2009-03-01,17.99
MSFT,2009-04-01,19.84
MSFT,2009-05-01,20.59
MSFT,2009-06-01,23.42
MSFT,2009-07-01,23.18
MSFT,2009-08-01,24.43
MSFT,2009-09-01,25.49
MSFT,2009-10-01,27.48
MSFT,2009-11-01,29.27
MSFT,2009-12-01,30.34
MSFT,2010-01-01,28.05
MSFT,2010-02-01,28.67
MSFT,2010-03-01,28.8
AMZN,2000-01-01,64.56
AMZN,2000-02-01,68.87
